time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/25/17:14:42.472042,221443.796875,42.3365745544,N,-71.0877075195,W,9.96599960327,328011.489712,4689257.60603,19,T,5.0
2020/02/25/17:14:43.079528,221444.40625,42.3365745544,N,-71.0877075195,W,9.97700023651,328011.478077,4689257.60779,19,T,5.0
2020/02/25/17:14:43.679701,221445.0,42.3365745544,N,-71.0877075195,W,10.0059995651,328011.474283,4689257.60437,19,T,5.0
2020/02/25/17:14:44.277623,221445.59375,42.3365745544,N,-71.0877075195,W,9.99899959564,328011.478371,4689257.60297,19,T,5.0
2020/02/25/17:14:44.877202,221446.203125,42.3365745544,N,-71.0877075195,W,9.98099994659,328011.474241,4689257.61381,19,T,5.0
2020/02/25/17:14:45.686438,221447.0,42.3365745544,N,-71.0877075195,W,9.98600006104,328011.470109,4689257.6078,19,T,5.0
2020/02/25/17:14:46.278062,221447.59375,42.3365745544,N,-71.0877075195,W,9.98600006104,328011.470433,4689257.60983,19,T,5.0
2020/02/25/17:14:46.871532,221448.203125,42.3365745544,N,-71.0877075195,W,10.0260000229,328011.468225,4689257.62063,19,T,5.0
2020/02/25/17:14:47.478535,221448.796875,42.3365745544,N,-71.0877075195,W,9.96399974823,328011.482892,4689257.58008,19,T,5.0
2020/02/25/17:14:47.676286,221449.0,42.3365745544,N,-71.0877075195,W,9.95400047302,328011.513177,4689257.56008,19,T,5.0
2020/02/25/17:14:47.881002,221449.203125,42.3365745544,N,-71.0877075195,W,9.93400001526,328011.532584,4689257.5559,19,T,5.0
2020/02/25/17:14:48.680293,221450.0,42.3365745544,N,-71.0877075195,W,10.0559997559,328011.596049,4689257.49397,19,T,5.0
2020/02/25/17:14:49.280364,221450.59375,42.3365745544,N,-71.0877075195,W,9.95300006866,328011.630033,4689257.41758,19,T,5.0
2020/02/25/17:14:49.874874,221451.203125,42.3365707397,N,-71.0877075195,W,9.96800041199,328011.63334,4689257.3788,19,T,5.0
2020/02/25/17:14:50.475677,221451.796875,42.3365707397,N,-71.0877075195,W,10.0799999237,328011.632001,4689257.34106,19,T,5.0
2020/02/25/17:14:51.074237,221452.40625,42.3365707397,N,-71.0877075195,W,10.0,328011.646559,4689257.34644,19,T,5.0
2020/02/25/17:14:51.676180,221453.0,42.3365745544,N,-71.0877075195,W,9.33300018311,328011.713975,4689257.43423,19,T,5.0
2020/02/25/17:14:52.275922,221453.59375,42.3365745544,N,-71.0877075195,W,9.36400032043,328011.723681,4689257.4714,19,T,5.0
2020/02/25/17:14:52.875984,221454.203125,42.3365745544,N,-71.0877075195,W,9.39000034332,328011.73585,4689257.50258,19,T,5.0
2020/02/25/17:14:53.470023,221454.796875,42.3365745544,N,-71.0877075195,W,9.42000007629,328011.729713,4689257.52125,19,T,5.0
2020/02/25/17:14:54.081718,221455.40625,42.3365745544,N,-71.0877075195,W,9.44499969482,328011.714234,4689257.54552,19,T,5.0
2020/02/25/17:14:54.677843,221456.0,42.3365745544,N,-71.0877075195,W,9.50599956512,328011.695875,4689257.55319,19,T,5.0
2020/02/25/17:14:55.286647,221456.59375,42.3365745544,N,-71.0877075195,W,9.54500007629,328011.678497,4689257.57843,19,T,5.0
2020/02/25/17:14:55.876466,221457.203125,42.3365745544,N,-71.0877075195,W,9.53699970245,328011.756644,4689257.5717,19,T,5.0
2020/02/25/17:14:56.476387,221457.796875,42.3365745544,N,-71.0877075195,W,9.38799953461,328011.780204,4689257.58556,19,T,5.0
2020/02/25/17:14:57.084969,221458.40625,42.3365745544,N,-71.0877075195,W,9.41300010681,328011.785417,4689257.60766,19,T,5.0
2020/02/25/17:14:57.674582,221459.0,42.3365745544,N,-71.0877075195,W,9.47799968719,328011.80076,4689257.60024,19,T,5.0
2020/02/25/17:14:58.274826,221459.59375,42.3365745544,N,-71.0877075195,W,9.41600036621,328011.793215,4689257.61746,19,T,5.0
2020/02/25/17:14:58.873381,221500.203125,42.3365745544,N,-71.0877075195,W,9.44999980927,328011.78107,4689257.62647,19,T,5.0
2020/02/25/17:14:59.474281,221500.796875,42.3365745544,N,-71.0877075195,W,9.49300003052,328011.802873,4689257.63593,19,T,5.0
2020/02/25/17:15:00.076792,221501.40625,42.3365745544,N,-71.0877075195,W,9.44499969482,328011.808679,4689257.64857,19,T,5.0
2020/02/25/17:15:00.673951,221502.0,42.3365745544,N,-71.0877075195,W,9.3780002594,328011.813311,4689257.64697,19,T,5.0
2020/02/25/17:15:01.283454,221502.59375,42.3365745544,N,-71.0877075195,W,9.36100006104,328011.820068,4689257.66477,19,T,5.0
2020/02/25/17:15:01.871530,221503.203125,42.3365745544,N,-71.0877075195,W,9.29300022125,328011.828076,4689257.69994,19,T,5.0
2020/02/25/17:15:02.673415,221504.0,42.3365745544,N,-71.0877075195,W,9.32600021362,328011.853797,4689257.73468,19,T,5.0
2020/02/25/17:15:03.271669,221504.59375,42.3365745544,N,-71.0876998901,W,9.35599994659,328011.878775,4689257.7224,19,T,5.0
2020/02/25/17:15:03.677308,221505.0,42.3365745544,N,-71.0876998901,W,9.35299968719,328011.880354,4689257.72514,19,T,5.0
2020/02/25/17:15:04.274113,221505.59375,42.3365745544,N,-71.0876998901,W,9.33199977875,328011.883604,4689257.74561,19,T,5.0
2020/02/25/17:15:04.868110,221506.203125,42.3365745544,N,-71.0876998901,W,9.29599952698,328011.886286,4689257.74851,19,T,5.0
2020/02/25/17:15:05.473268,221506.796875,42.3365745544,N,-71.0876998901,W,9.30900001526,328011.903547,4689257.76327,19,T,5.0
2020/02/25/17:15:06.075498,221507.40625,42.3365745544,N,-71.0876998901,W,9.30500030518,328011.907876,4689257.76613,19,T,5.0
2020/02/25/17:15:06.673349,221508.0,42.3365745544,N,-71.0876998901,W,9.38500022888,328011.920287,4689257.77916,19,T,5.0
2020/02/25/17:15:07.272367,221508.59375,42.3365783691,N,-71.0876998901,W,9.33300018311,328011.924134,4689257.81277,19,T,5.0
2020/02/25/17:15:07.879132,221509.203125,42.3365783691,N,-71.0876998901,W,9.29599952698,328011.929653,4689257.8417,19,T,5.0
2020/02/25/17:15:08.471796,221509.796875,42.3365783691,N,-71.0876998901,W,9.27900028229,328011.93266,4689257.86904,19,T,5.0
2020/02/25/17:15:09.072383,221510.40625,42.3365783691,N,-71.0876998901,W,9.28800010681,328011.943953,4689257.88691,19,T,5.0
2020/02/25/17:15:09.674119,221511.0,42.3365783691,N,-71.0876998901,W,9.30399990082,328011.950057,4689257.89491,19,T,5.0
2020/02/25/17:15:10.280238,221511.59375,42.3365783691,N,-71.0876998901,W,9.31900024414,328011.956458,4689257.90938,19,T,5.0
2020/02/25/17:15:10.870744,221512.203125,42.3365783691,N,-71.0876998901,W,9.27000045776,328011.995896,4689257.91526,19,T,5.0
2020/02/25/17:15:11.475081,221512.796875,42.3365783691,N,-71.0876998901,W,9.27600002289,328012.104293,4689257.80316,19,T,5.0
2020/02/25/17:15:15.098897,221516.40625,42.3365745544,N,-71.0876998901,W,9.49400043488,328012.437081,4689257.41814,19,T,4.0
2020/02/25/17:15:15.708079,221517.0,42.3365707397,N,-71.0876998901,W,9.49800014496,328012.456568,4689257.35007,19,T,4.0
2020/02/25/17:15:16.279232,221517.59375,42.3365707397,N,-71.0876998901,W,9.50100040436,328012.447097,4689257.3616,19,T,4.0
2020/02/25/17:15:16.872331,221518.203125,42.3365707397,N,-71.0876998901,W,9.52099990845,328012.471213,4689257.35897,19,T,4.0
2020/02/25/17:15:17.475713,221518.796875,42.3365745544,N,-71.0876922607,W,9.48799991608,328012.496516,4689257.37668,19,T,4.0
2020/02/25/17:15:18.070238,221519.40625,42.3365745544,N,-71.0876998901,W,9.22399997711,328012.38752,4689257.68824,19,T,5.0
2020/02/25/17:15:18.688288,221520.0,42.3365745544,N,-71.0876998901,W,9.23799991608,328012.377277,4689257.68516,19,T,5.0
2020/02/25/17:15:23.672095,221525.0,42.3365745544,N,-71.0876998901,W,9.25,328012.389344,4689257.70098,19,T,5.0
2020/02/25/17:15:24.275744,221525.59375,42.3365745544,N,-71.0876998901,W,9.24899959564,328012.378904,4689257.70105,19,T,5.0
2020/02/25/17:15:24.879334,221526.203125,42.3365745544,N,-71.0876998901,W,9.26799964905,328012.374361,4689257.68949,19,T,5.0
2020/02/25/17:15:25.474033,221526.796875,42.3365745544,N,-71.0876998901,W,9.23900032043,328012.374718,4689257.68726,19,T,5.0
2020/02/25/17:15:26.081712,221527.40625,42.3365745544,N,-71.0876998901,W,9.23799991608,328012.370701,4689257.68032,19,T,5.0
2020/02/25/17:15:26.684038,221528.0,42.3365745544,N,-71.0876998901,W,9.2469997406,328012.364041,4689257.68326,19,T,5.0
2020/02/25/17:15:27.275428,221528.59375,42.3365745544,N,-71.0876998901,W,9.2530002594,328012.357377,4689257.68046,19,T,5.0
2020/02/25/17:15:27.873699,221529.203125,42.3365745544,N,-71.0876998901,W,9.28499984741,328012.349497,4689257.67288,19,T,5.0
2020/02/25/17:15:28.472090,221529.796875,42.3365745544,N,-71.0876998901,W,9.26900005341,328012.344316,4689257.67449,19,T,5.0
2020/02/25/17:15:28.672265,221530.0,42.3365745544,N,-71.0876998901,W,9.25399971008,328012.345973,4689257.67482,19,T,5.0
