time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/25/17:24:05.188810,408,1582669445,188083887,,42.3371810913,-71.0903320312,5.0,1.31599998474,327796.90625,4689330.5,19,T
2020/02/25/17:24:07.307660,409,1582669447,307022094,,42.3371810913,-71.0903320312,5.0,1.31599998474,327796.90625,4689330.5,19,T
2020/02/25/17:24:09.425947,410,1582669449,425615072,,42.3371810913,-71.0903320312,5.0,1.31299996376,327796.90625,4689330.5,19,T
2020/02/25/17:24:11.545041,411,1582669451,544540882,,42.3371810913,-71.0903320312,5.0,1.31099998951,327796.90625,4689330.5,19,T
2020/02/25/17:24:13.667664,412,1582669453,666949987,,42.3371810913,-71.0903320312,5.0,1.31299996376,327796.90625,4689330.5,19,T
2020/02/25/17:24:14.020248,413,1582669454,19777059,,42.337184906,-71.0903320312,4.0,0.972000002861,327796.90625,4689330.5,19,T
2020/02/25/17:24:16.140489,414,1582669456,139839887,,42.337184906,-71.0903320312,4.0,0.976000010967,327796.90625,4689330.5,19,T
2020/02/25/17:24:18.259091,415,1582669458,258724927,,42.337184906,-71.0903320312,4.0,0.97000002861,327796.90625,4689330.5,19,T
2020/02/25/17:24:20.378239,416,1582669460,377549886,,42.337184906,-71.0903320312,4.0,0.966000020504,327796.90625,4689330.5,19,T
2020/02/25/17:24:22.498481,417,1582669462,498171091,,42.337184906,-71.0903320312,4.0,0.97000002861,327796.90625,4689330.5,19,T
2020/02/25/17:24:24.619442,418,1582669464,618803977,,42.337184906,-71.0903320312,4.0,0.96899998188,327796.90625,4689330.5,19,T
2020/02/25/17:24:26.737704,419,1582669466,737099885,,42.337184906,-71.0903320312,4.0,0.972000002861,327796.90625,4689330.5,19,T
2020/02/25/17:24:28.856592,420,1582669468,855942010,,42.337184906,-71.0903320312,4.0,0.972999989986,327796.90625,4689330.5,19,T
2020/02/25/17:24:30.976801,421,1582669470,976051092,,42.337184906,-71.0903320312,4.0,0.961000025272,327796.90625,4689330.5,19,T
2020/02/25/17:24:33.095979,422,1582669473,95355033,,42.337184906,-71.0903320312,4.0,0.962999999523,327796.90625,4689330.5,19,T
2020/02/25/17:24:35.214746,423,1582669475,214040994,,42.337184906,-71.0903320312,4.0,0.964999973774,327796.90625,4689330.5,19,T
2020/02/25/17:24:37.332206,424,1582669477,331510066,,42.337184906,-71.0903320312,4.0,0.962000012398,327796.90625,4689330.5,19,T
2020/02/25/17:24:39.449239,425,1582669479,448585033,,42.337184906,-71.0903320312,4.0,0.964999973774,327796.90625,4689330.5,19,T
2020/02/25/17:24:41.565231,426,1582669481,564583063,,42.337184906,-71.0903320312,4.0,0.959999978542,327796.90625,4689330.5,19,T
2020/02/25/17:24:43.680172,427,1582669483,679536104,,42.337184906,-71.0903320312,4.0,0.959999978542,327796.90625,4689330.5,19,T
2020/02/25/17:24:45.796907,428,1582669485,796256065,,42.337184906,-71.0903320312,4.0,0.957000017166,327796.90625,4689330.5,19,T
2020/02/25/17:24:47.911752,429,1582669487,911060094,,42.337184906,-71.0903320312,4.0,0.959999978542,327796.90625,4689330.5,19,T
2020/02/25/17:24:50.029923,430,1582669490,29310941,,42.337184906,-71.0903320312,4.0,0.966000020504,327796.90625,4689330.5,19,T
2020/02/25/17:24:52.152239,431,1582669492,151734113,,42.337184906,-71.0903320312,4.0,0.96899998188,327796.90625,4689330.5,19,T
2020/02/25/17:24:54.269732,432,1582669494,268902063,,42.337184906,-71.0903320312,4.0,0.96899998188,327796.90625,4689330.5,19,T
2020/02/25/17:24:56.386436,433,1582669496,386183023,,42.337184906,-71.0903320312,4.0,0.96899998188,327796.90625,4689330.5,19,T
2020/02/25/17:24:58.507161,434,1582669498,506691932,,42.337184906,-71.0903320312,4.0,0.964999973774,327796.90625,4689330.5,19,T
2020/02/25/17:25:00.274902,435,1582669500,274333953,,42.3371810913,-71.0903320312,5.0,1.27699995041,327796.6875,4689330.5,19,T
2020/02/25/17:25:02.394883,436,1582669502,394239902,,42.3371810913,-71.0903320312,5.0,1.28100001812,327796.6875,4689330.5,19,T
2020/02/25/17:25:04.514182,437,1582669504,513577938,,42.3371810913,-71.0903320312,5.0,1.27600002289,327796.6875,4689330.5,19,T
2020/02/25/17:25:06.635277,438,1582669506,634712934,,42.3371810913,-71.0903320312,5.0,1.27400004864,327796.6875,4689330.5,19,T
2020/02/25/17:25:08.755791,439,1582669508,755223989,,42.3371810913,-71.0903320312,5.0,1.26800000668,327796.6875,4689330.5,19,T
2020/02/25/17:25:10.875543,440,1582669510,874900102,,42.3371810913,-71.0903320312,5.0,1.26699995995,327796.6875,4689330.5,19,T
2020/02/25/17:25:12.992928,441,1582669512,992666959,,42.3371810913,-71.0903320312,5.0,1.27100002766,327796.6875,4689330.5,19,T
2020/02/25/17:25:15.112703,442,1582669515,112411022,,42.3371810913,-71.0903320312,5.0,1.27199995518,327796.6875,4689330.5,19,T
2020/02/25/17:25:17.232644,443,1582669517,232070922,,42.3371810913,-71.0903320312,5.0,1.26999998093,327796.6875,4689330.5,19,T
2020/02/25/17:25:19.353663,444,1582669519,353087902,,42.3371810913,-71.0903320312,5.0,1.26400005817,327796.6875,4689330.5,19,T
2020/02/25/17:25:21.470057,445,1582669521,469571113,,42.3371810913,-71.0903320312,5.0,1.25600004196,327796.6875,4689330.5,19,T
2020/02/25/17:25:23.586446,446,1582669523,585694074,,42.3371810913,-71.0903320312,5.0,1.25999999046,327796.6875,4689330.5,19,T
2020/02/25/17:25:25.701593,447,1582669525,700947046,,42.3371810913,-71.0903320312,5.0,1.26499998569,327796.6875,4689330.5,19,T
2020/02/25/17:25:27.818285,448,1582669527,817527055,,42.3371810913,-71.0903320312,5.0,1.26800000668,327796.6875,4689330.5,19,T
2020/02/25/17:25:29.933377,449,1582669529,932693004,,42.3371810913,-71.0903320312,5.0,1.26900005341,327796.6875,4689330.5,19,T
2020/02/25/17:25:32.051085,450,1582669532,50457000,,42.3371810913,-71.0903320312,5.0,1.26400005817,327796.6875,4689330.5,19,T
2020/02/25/17:25:34.170834,451,1582669534,170154094,,42.3371810913,-71.0903320312,5.0,1.25499999523,327796.6875,4689330.5,19,T
